,rules,support,confidence,lift,,
98,{SBCT_0=medium} => {SBBE_1=low},0.2764991007,0.860694629,0.986973569,,
94,{SBCT_0=medium} => {SBBE_0=low},0.2371429442,0.738185614,0.9866637884,,
63,{SBCT_0=medium} => {SBBR_2=high},0.1350486236,0.4203833745,0.9840744903,,
95,{SBCT_0=medium} => {SBGO_4=low},0.2380574947,0.741032454,0.983456228,,
71,{SBCT_0=medium} => {SBRF_2=low},0.1498338567,0.4664072879,0.9830725609,,
84,{SBCT_0=medium} => {SBFZ_4=low},0.1913544493,0.5956538243,0.9828587725,,
57,{SBCT_0=medium} => {SBBR_1=high},0.1297137457,0.4037768077,0.9825734885,,
74,{SBCT_0=medium} => {SBRF_3=low},0.1546200043,0.4813057506,0.9821631439,,
78,{SBCT_0=medium} => {SBVT_3=low},0.1691613572,0.5265705067,0.9821511533,,
76,{SBCT_0=medium} => {SBVT_1=low},0.1607779776,0.5004744733,0.9821167832,,
96,{SBCT_0=medium} => {SBEG_0=low},0.2529951529,0.7875308408,0.9819215542,,
58,{SBCT_0=medium} => {SBGL_4=high},0.1295918056,0.4033972291,0.9816498001,,
77,{SBCT_0=medium} => {SBVT_2=low},0.1619059232,0.503985576,0.9814329979,,
89,{SBCT_0=medium} => {SBFL_2=low},0.2132731762,0.6638830898,0.9810504097,,
69,{SBCT_0=medium} => {SBGR_3=high},0.1416638722,0.4409755172,0.975804094,,
173,{SBCT_0=high} => {SBBE_0=low},0.2613785325,0.7292056472,0.9746611053,,
70,{SBCT_0=medium} => {SBGR_4=high},0.1419382374,0.4418295692,0.9744728944,,
178,{SBCT_0=high} => {SBBE_4=low},0.3067707222,0.8558428304,0.9740887674,,
171,{SBCT_0=high} => {SBGO_2=low},0.2516538122,0.7020751829,0.9720653479,,
172,{SBCT_0=high} => {SBGO_3=low},0.2552205591,0.7120258547,0.9709255118,,
150,{SBCT_0=high} => {SBRF_2=low},0.1643752096,0.4585813914,0.9665774839,,
65,{SBCT_0=medium} => {SBGR_1=high},0.133951163,0.4169671664,0.966558827,,
146,{SBCT_0=high} => {SBKP_4=low},0.1521812029,0.4245620003,0.9660059164,,
62,{SBCT_0=medium} => {SBGL_3=high},0.1316647868,0.4098500664,0.9654108667,,
68,{SBCT_0=medium} => {SBGR_2=high},0.1372130598,0.4271208958,0.9648678979,,
170,{SBCT_0=high} => {SBGO_1=low},0.2417766668,0.6745194761,0.9623042828,,
140,{SBCT_0=high} => {SBPA_4=low},0.1444989788,0.403129784,0.9545850216,,
168,{SBCT_0=high} => {SBFL_2=low},0.2308020608,0.6439020242,0.951523475,,
163,{SBCT_0=high} => {SBFZ_4=low},0.2060177423,0.5747576118,0.9483789709,,
