,rules,support,confidence,lift
188,{SBRJ_0=high} => {SBEG_2=low},0.3208243148,0.929517753,0.9914473192
108,{SBRJ_0=medium} => {SBBE_1=low},0.2929305246,0.8635750876,0.9902766412
184,{SBRJ_0=high} => {SBBE_1=low},0.2978386123,0.8629217453,0.9895274422
111,{SBRJ_0=medium} => {SBEG_1=low},0.2989055879,0.8811898984,0.9893781571
83,{SBRJ_0=medium} => {SBRF_4=low},0.1620278633,0.4776669363,0.988824215
187,{SBRJ_0=high} => {SBEG_1=low},0.3038441606,0.880321498,0.9884031386
186,{SBRJ_0=high} => {SBBE_2=low},0.3012224492,0.8727256668,0.9873433368
185,{SBRJ_0=high} => {SBBE_4=low},0.2982044325,0.8639816287,0.9833520477
94,{SBRJ_0=medium} => {SBFZ_4=low},0.2015364448,0.5941403793,0.9803615121
180,{SBRJ_0=high} => {SBBE_0=low},0.2521720574,0.7306129659,0.9765421368
182,{SBRJ_0=high} => {SBEG_0=low},0.2689083316,0.779102632,0.9714129628
148,{SBRJ_0=high} => {SBPA_4=low},0.1400481663,0.4057586999,0.9608101229
80,{SBRJ_0=medium} => {SBGR_4=high},0.1475779654,0.435067853,0.9595596572
170,{SBRJ_0=high} => {SBFZ_4=low},0.2001951041,0.5800211977,0.9570641523
73,{SBRJ_0=medium} => {SBGR_0=high},0.1370911197,0.4041520626,0.9533582704
181,{SBRJ_0=high} => {SBGO_4=low},0.247660275,0.7175410705,0.9522797967
78,{SBRJ_0=medium} => {SBGR_2=high},0.1429137579,0.421317516,0.9517580384
79,{SBRJ_0=medium} => {SBGR_3=high},0.1453220742,0.4284173632,0.9480150273
160,{SBRJ_0=high} => {SBRF_4=low},0.1579428711,0.4576046635,0.9472930567
176,{SBRJ_0=high} => {SBFL_4=low},0.2221443161,0.6436142024,0.9472575683
75,{SBRJ_0=medium} => {SBGR_1=high},0.1375179099,0.4054102633,0.9397691236
179,{SBRJ_0=high} => {SBGO_3=low},0.2378440996,0.6891008656,0.9396647694
161,{SBRJ_0=high} => {SBRF_3=low},0.1585220864,0.4592828122,0.9372226494
158,{SBRJ_0=high} => {SBRF_2=low},0.1528823583,0.4429429429,0.933615457
154,{SBRJ_0=high} => {SBKP_4=low},0.1414199921,0.4097332627,0.9322660897
76,{SBRJ_0=medium} => {SBBR_3=high},0.1358717191,0.4005572032,0.9252501892
165,{SBRJ_0=high} => {SBFZ_0=low},0.1749535103,0.5068892422,0.9250855575
174,{SBRJ_0=high} => {SBFL_3=low},0.2129683261,0.6170287935,0.9203526516
168,{SBRJ_0=high} => {SBFZ_2=low},0.1873913971,0.5429252782,0.9191091449
166,{SBRJ_0=high} => {SBVT_4=low},0.1785507423,0.5173114291,0.9185042927
177,{SBRJ_0=high} => {SBGO_1=low},0.2216870408,0.6422893482,0.9163231196
175,{SBRJ_0=high} => {SBFL_2=low},0.2138523915,0.6195901784,0.9155967485
167,{SBRJ_0=high} => {SBFZ_3=low},0.1825747645,0.5289701466,0.9153728487
178,{SBRJ_0=high} => {SBGO_2=low},0.227479194,0.6590708355,0.9125232407
169,{SBRJ_0=high} => {SBFZ_1=low},0.1858671463,0.5385090973,0.910036264
159,{SBRJ_0=high} => {SBRF_1=low},0.1492241563,0.4323441088,0.9094058225
171,{SBRJ_0=high} => {SBFL_0=low},0.1938237356,0.5615615616,0.9057382193
173,{SBRJ_0=high} => {SBFL_1=low},0.2056824071,0.5959194489,0.8990868219
172,{SBRJ_0=high} => {SBGO_0=low},0.1922994848,0.5571453807,0.8803911519
164,{SBRJ_0=high} => {SBVT_3=low},0.1608389477,0.4659954072,0.8691674158
162,{SBRJ_0=high} => {SBVT_1=low},0.1414504771,0.4098215863,0.8042221521
163,{SBRJ_0=high} => {SBVT_2=low},0.1420601774,0.4115880586,0.8015033
