,rules,support,confidence,lift
61,{SBKP_0=medium} => {SBGR_1=high},0.1050818523,0.4188335358,0.9708852008
79,{SBKP_0=medium} => {SBFZ_4=low},0.1473340853,0.5872417983,0.9689785065
75,{SBKP_0=medium} => {SBVT_4=low},0.1368167546,0.5453219927,0.968238015
81,{SBKP_0=medium} => {SBGO_0=low},0.1530347834,0.609963548,0.9638534739
90,{SBKP_0=medium} => {SBGO_4=low},0.1815382739,0.7235722965,0.9602840976
88,{SBKP_0=medium} => {SBGO_3=low},0.1766606713,0.7041312272,0.9601603195
163,{SBKP_0=high} => {SBGO_2=low},0.2434533427,0.6902930245,0.9557522405
72,{SBKP_0=medium} => {SBVT_2=low},0.1225192818,0.4883353584,0.9509566496
152,{SBKP_0=high} => {SBFZ_3=low},0.1934579154,0.5485348777,0.9492292463
86,{SBKP_0=medium} => {SBGO_1=low},0.166905466,0.6652490887,0.9490786699
142,{SBKP_0=high} => {SBRF_2=low},0.1585830564,0.4496499265,0.947752139
84,{SBKP_0=medium} => {SBFL_2=low},0.1603816724,0.6392466586,0.9446440283
150,{SBKP_0=high} => {SBFZ_0=low},0.1814468189,0.5144783473,0.9389358644
157,{SBKP_0=high} => {SBGO_0=low},0.209249154,0.593309707,0.9375373726
161,{SBKP_0=high} => {SBFL_4=low},0.2241258421,0.6354913994,0.9353026012
66,{SBKP_0=medium} => {SBRF_2=low},0.1113312807,0.4437424058,0.9353005294
160,{SBKP_0=high} => {SBFL_2=low},0.2231808066,0.6328118247,0.93513498
151,{SBKP_0=high} => {SBVT_4=low},0.1851659909,0.5250237704,0.9321978209
159,{SBKP_0=high} => {SBFL_3=low},0.2194921196,0.6223528395,0.9282939339
153,{SBKP_0=high} => {SBFZ_2=low},0.1931835503,0.5477569366,0.9272885789
155,{SBKP_0=high} => {SBFZ_4=low},0.1978172728,0.5608954966,0.9255057834
67,{SBKP_0=medium} => {SBRF_1=low},0.1102947901,0.4396111786,0.9246915994
145,{SBKP_0=high} => {SBRF_3=low},0.1587049965,0.4499956781,0.9182711184
156,{SBKP_0=high} => {SBFL_0=low},0.1989757034,0.5641801366,0.9099616983
143,{SBKP_0=high} => {SBRF_1=low},0.1521507179,0.4314115308,0.9074442094
154,{SBKP_0=high} => {SBFZ_1=low},0.1883974027,0.5341861872,0.9027309
158,{SBKP_0=high} => {SBFL_1=low},0.2100722495,0.5956435301,0.8986705325
148,{SBKP_0=high} => {SBVT_2=low},0.1609304027,0.4563056444,0.8885837966
144,{SBKP_0=high} => {SBRF_4=low},0.1509313173,0.427954015,0.8859128837
149,{SBKP_0=high} => {SBVT_3=low},0.167027406,0.4735932233,0.8833387447
147,{SBKP_0=high} => {SBVT_1=low},0.1542541841,0.4373757455,0.8582936456
146,{SBKP_0=high} => {SBVT_0=low},0.1509313173,0.427954015,0.8452149771
