,rules,support,confidence,lift,,
84,{SBSV_0=medium} => {SBVT_4=low},0.194524891,0.554050534,0.9837358412,,
167,{SBSV_0=high} => {SBGO_2=low},0.2519891473,0.7098935074,0.9828902888,,
98,{SBSV_0=medium} => {SBBE_0=low},0.2580251806,0.734913606,0.9822904008,,
101,{SBSV_0=medium} => {SBBE_3=low},0.2928695546,0.8341582009,0.9820159153,,
177,{SBSV_0=high} => {SBEG_2=low},0.3264945279,0.9197870148,0.9810682658,,
174,{SBSV_0=high} => {SBBE_4=low},0.3058866567,0.8617313638,0.9807908791,,
87,{SBSV_0=medium} => {SBFZ_1=low},0.203700881,0.5801858123,0.9804664984,,
93,{SBSV_0=medium} => {SBFL_2=low},0.232936012,0.6634540245,0.9804163603,,
175,{SBSV_0=high} => {SBBE_2=low},0.3066182971,0.8637925112,0.9772369631,,
176,{SBSV_0=high} => {SBEG_1=low},0.3084169131,0.8688594985,0.9755338899,,
163,{SBSV_0=high} => {SBFL_3=low},0.2305886657,0.6496049468,0.968942846,,
168,{SBSV_0=high} => {SBGO_3=low},0.2521720574,0.7104087942,0.9687204721,,
173,{SBSV_0=high} => {SBBE_1=low},0.299088498,0.8425798695,0.9662010577,,
92,{SBSV_0=medium} => {SBFL_3=low},0.2272962839,0.6473908136,0.9656402718,,
171,{SBSV_0=high} => {SBEG_0=low},0.2748833948,0.7743902439,0.9655373891,,
162,{SBSV_0=high} => {SBFL_1=low},0.2268390086,0.6390415665,0.9641468358,,
165,{SBSV_0=high} => {SBFL_4=low},0.2324482517,0.6548436963,0.9637848964,,
69,{SBSV_0=medium} => {SBGR_1=high},0.1456878944,0.4149518104,0.9618870918,,
74,{SBSV_0=medium} => {SBGR_4=high},0.1528823583,0.4354432578,0.9603876276,,
161,{SBSV_0=high} => {SBGO_0=low},0.2150108222,0.605719684,0.957147396,,
65,{SBSV_0=medium} => {SBGR_0=high},0.1420296924,0.4045324303,0.9542555236,,
72,{SBSV_0=medium} => {SBGR_2=high},0.1481266957,0.4218980637,0.9530694983,,
169,{SBSV_0=high} => {SBBE_0=low},0.2525683626,0.7115252491,0.9510293678,,
164,{SBSV_0=high} => {SBFL_2=low},0.2283022894,0.6431638612,0.9504326579,,
73,{SBSV_0=medium} => {SBGR_3=high},0.150413072,0.4284101763,0.9479991238,,
155,{SBSV_0=high} => {SBVT_4=low},0.1893424382,0.5334077637,0.9470838902,,
66,{SBSV_0=medium} => {SBGL_3=high},0.1406883517,0.400711991,0.9438859285,,
67,{SBSV_0=medium} => {SBBR_2=high},0.1411151419,0.4019275853,0.9408713752,,
70,{SBSV_0=medium} => {SBBR_3=high},0.1422430875,0.4051402275,0.9358365525,,
159,{SBSV_0=high} => {SBFZ_4=low},0.1997378289,0.5626932326,0.9284721382,,
160,{SBSV_0=high} => {SBFL_0=low},0.203700881,0.5738577808,0.9255706945,,
152,{SBSV_0=high} => {SBVT_2=low},0.1675456513,0.4720027482,0.9191514484,,
149,{SBSV_0=high} => {SBRF_3=low},0.1595280919,0.4494160082,0.9170882313,,
148,{SBSV_0=high} => {SBRF_4=low},0.1569978356,0.4422878736,0.915585581,,
158,{SBSV_0=high} => {SBFZ_1=low},0.189007103,0.5324630711,0.8998189749,,
153,{SBSV_0=high} => {SBVT_3=low},0.170624638,0.4806767434,0.8965508167,,
157,{SBSV_0=high} => {SBFZ_2=low},0.1870560619,0.5269666781,0.8920930971,,
154,{SBSV_0=high} => {SBFZ_0=low},0.1723013139,0.4854002061,0.8858675287,,
151,{SBSV_0=high} => {SBVT_1=low},0.1599548822,0.4506183442,0.8842805423,,
156,{SBSV_0=high} => {SBFZ_3=low},0.1806237234,0.5088457575,0.8805479733,,
147,{SBSV_0=high} => {SBRF_1=low},0.1483400908,0.4178976297,0.8790186564,,
150,{SBSV_0=high} => {SBVT_0=low},0.1565100753,0.4409137753,0.8708106793,,
